,mean,sigma
0,72.63163410138412,36.59199514967601
1,177.44373674374606,35.6447720364827
2,-0.00371535214058485,2.3726621427718713
3,0.27323401925581714,0.2334056022623752
4,1.073281464772416,0.828884410702095
5,1.212398226871238,0.9226195129044971
6,0.006885398673669368,2.2986730671603373
7,58.88006536368959,31.189125343278754
8,0.8740986400632206,0.6767474525779679
9,108.82707152497724,48.155392170671945
10,82.65243723758869,49.21040217265213
11,-0.058179002960878794,0.5497963367374897
12,309.86003975703545,110.92934736713174
13,0.03319742171625422,0.9994521760045791
14,108.76114565940536,57.593688728095714
15,0.0033449580490416395,1.0864377678116746
16,69.58719462921556,31.96738360475268
17,0.00801959642327331,1.09461142124624
