,mean,sigma
0,74.35289215066067,37.3759785739794
1,177.92762494624694,35.44887115832419
2,-0.0048557270441718006,2.367244629649611
3,0.27523152478564156,0.2314440551760959
4,1.0874385437221465,0.8432058046010696
5,1.222367644899288,0.9367319377398511
6,-0.00023126121509341857,2.283785523247495
7,61.768896841648925,30.914311805603806
8,0.8732489305124799,0.6810157865919729
9,111.96267194497128,48.88275763059501
10,83.71402159137413,49.62585784194669
11,-0.08302561177114158,0.5435289519213751
12,314.18886470146685,111.19098411970101
13,0.032269685076692645,0.9994803824731086
14,108.79632980494478,57.84875212356045
15,0.002553239164862851,1.1176627634371439
16,69.27074590236586,31.87979617183957
17,-0.0018402515179824254,1.1331148833251696
