,mean,sigma
0,73.01870792124804,36.7076980320235
1,177.67705866994388,35.31057953483143
2,-0.006998299105845737,2.364560637931517
3,0.2727137209463932,0.23250373480168426
4,1.0772986721599378,0.8299765699483264
5,1.219709182419314,0.9257534183986448
6,0.005417917955555557,2.293938416279798
7,58.853811125244164,31.39671008821367
8,0.8748713401093035,0.6774309228561292
9,109.27893548852558,48.270042302638494
10,82.67659949171295,49.47083650447065
11,-0.05532083941527298,0.5507850448864418
12,309.82212456677536,110.8833511569347
13,0.03469456362569301,0.9994008096538838
14,108.41613997448451,57.41074092246831
15,0.012152383344434867,1.0860428893549912
16,69.53346554136417,32.13655222521737
17,0.006990148333828026,1.0986346509397793
