,mean,sigma
0,72.79270012515956,37.38031985822118
1,177.18794117218576,35.50530808743472
2,-0.0005416712384302217,2.3790721521373883
3,0.27719631762331326,0.2332397758880738
4,1.0692919401979646,0.8216917448711631
5,1.2002045652603357,0.9144370351100212
6,0.0024343822759952047,2.2901183752196044
7,62.846068974966784,32.21134447331836
8,0.8613299767558483,0.6655077364328577
9,111.75393468924902,49.0822251640825
10,84.5497082347363,51.56310878681971
11,-0.0864246625410736,0.5467783162234794
12,316.0104805761508,117.46418439529901
13,0.03788522120257499,0.9992866596540291
14,110.44807099082539,61.15736079872123
15,0.01072196336053623,1.0773683757707253
16,69.92364048181274,33.31984786149739
17,0.0029097005622092786,1.086926061964939
